timestamp,lstm_cpu,lstm_mem,lstm_rtt,lstm_pkt_in,lstm_pkt_out,lstm_flow_mod,lstm_flows_sec,lstm_bw,if_cpu,if_mem,if_rtt,if_pkt_in,if_pkt_out,if_flow_mod,if_table_occ,if_link_loss,if_bw,if_churn,if_zscore_avg,if_ratio_pkt_flow
1764658112.7350051,5.9,31.3,0.005,0,0,0,0,0,5.9,31.3,0.005,0,0,0,0,0,0,0,2.1747329021231274,0.0
1764658113.7456253,2.5,31.3,0.005,0,0,0,0,0,2.5,31.3,0.005,0,0,0,0,0,0,0,0.024636421341309587,0.0
1764658114.7567506,1.7,31.3,0.005,0,0,0,0,0,1.7,31.3,0.005,0,0,0,0,0,0,0,-0.4802387430458382,0.0
1764658115.7700644,9.2,31.7,0.005,0,0,0,0,0,9.2,31.7,0.005,0,0,0,0,0,0,0,3.565578327340026,0.0
1764658116.7826753,1.5,31.7,0.005,0,0,0,0,0,1.5,31.7,0.005,0,0,0,0,0,0,0,-0.5891971326027334,0.0
1764658117.7924616,3.2,31.7,0.005,3.9612339095390205,3.9612339095390205,0,0,0,3.2,31.7,0.005,3.9612339095390205,3.9612339095390205,0,0,0,0,0,0.3330384150880322,396123.39095390204
1764658118.803547,1.5,31.7,0.005,0,0,0,0,0,1.5,31.7,0.005,0,0,0,0,0,0,0,-0.5939649828578349,0.0
1764658119.81432,2.2,31.1,0.005,0,0,0,0,0,2.2,31.1,0.005,0,0,0,0,0,0,0,-0.20316262978122432,0.0
1764658120.8268147,3.5,31.2,0.005,0,0,0,0,0,3.5,31.2,0.005,0,0,0,0,0,0,0,0.5186733726845492,0.0
1764658121.8379061,2.2,31.2,0.005,0,0,0,0,0,2.2,31.2,0.005,0,0,0,0,0,0,0,-0.21389866288645948,0.0
1764658122.8527634,1.0,31.2,0.005,0,0,0,0,0,1.0,31.2,0.005,0,0,0,0,0,0,0,-0.8825247156312509,0.0
1764658123.8672006,2.2,30.9,0.005,0,0,0,0,0,2.2,30.9,0.005,0,0,0,0,0,0,0,-0.1935049700464553,0.0
1764658124.8789847,1.5,31.0,0.005,0,0,0,0,0,1.5,31.0,0.005,0,0,0,0,0,0,0,-0.590093247169346,0.0
1764658125.8897839,1.5,31.0,0.005,0,0,0,0,0,1.5,31.0,0.005,0,0,0,0,0,0,0,-0.590093247169346,0.0
1764658126.9021516,2.0,31.0,0.005,0,0,0,0,0,2.0,31.0,0.005,0,0,0,0,0,0,0,-0.27602681876403073,0.0
1764658127.9144115,4.3,31.0,0.005,0,0,0,0,0,4.3,31.0,0.005,0,0,0,0,0,0,0,1.0369737806739034,0.0
1764658128.9289389,2.8,31.0,0.005,0,0,0,0,0,2.8,31.0,0.005,0,0,0,0,0,0,0,0.14226347622778318,0.0
1764658129.9396431,1.0,31.0,0.005,0,0,0,0,0,1.0,31.0,0.005,0,0,0,0,0,0,0,-0.9276034645406979,0.0
1764658130.95418,2.0,31.0,0.005,0,0,0,0,0,2.0,31.0,0.005,0,0,0,0,0,0,0,-0.3473887130990428,0.0
1764658131.9665203,1.0,31.0,0.005,0,0,0,0,0,1.0,31.0,0.005,0,0,0,0,0,0,0,-0.9378878103215885,0.0
1764658132.979835,1.5,31.0,0.005,0,0,0,0,0,1.5,31.0,0.005,0,0,0,0,0,0,0,-0.6232776991476011,0.0
1764658133.988914,1.2,31.0,0.005,0,0,0,0,0,1.2,31.0,0.005,0,0,0,0,0,0,0,-0.7712371401424929,0.0
1764658134.9988992,1.7,31.0,0.005,0,0,0,0,0,1.7,31.0,0.005,0,0,0,0,0,0,0,-0.48411046068997254,0.0
1764658136.0127997,1.2,31.0,0.005,0,0,0,0,0,1.2,31.0,0.005,0,0,0,0,0,0,0,-0.783949963784902,0.0
1764658137.024669,0.7,31.0,0.005,0,0,0,0,0,0.7,31.0,0.005,0,0,0,0,0,0,0,-1.1467107744786396,0.0
1764658138.0346143,1.5,31.0,0.005,0,0,0,0,0,1.5,31.0,0.005,0,0,0,0,0,0,0,-0.563281519853283,0.0
1764658139.0448098,1.5,31.0,0.005,0,0,0,0,0,1.5,31.0,0.005,0,0,0,0,0,0,0,-0.5439049835661858,0.0
1764658140.058058,1.3,31.0,0.005,0,0,0,0,0,1.3,31.0,0.005,0,0,0,0,0,0,0,-0.6727517953368994,0.0
1764658141.071452,2.2,31.0,0.005,0,0,0,0,0,2.2,31.0,0.005,0,0,0,0,0,0,0,-0.05247931315450768,0.0
1764658142.0839124,1.7,31.0,0.005,0,0,0,0,0,1.7,31.0,0.005,0,0,0,0,0,0,0,-0.3993372976498378,0.0
1764658143.0935323,2.0,31.0,0.005,0,0,0,0,0,2.0,31.0,0.005,0,0,0,0,0,0,0,-0.1869238414531158,0.0
1764658144.1053717,2.0,31.0,0.005,0,0,0,0,0,2.0,31.0,0.005,0,0,0,0,0,0,0,-0.17712686699565397,0.0
1764658145.1197822,2.0,31.0,0.005,5.914765299738222,5.914765299738222,0,0,0,2.0,31.0,0.005,5.914765299738222,5.914765299738222,0,0,0,0,0,-0.1700460603795409,591476.5299738222
1764658146.1282198,1.2,31.0,0.005,0,0,0,0,0,1.2,31.0,0.005,0,0,0,0,0,0,0,-0.7306656013005803,0.0
1764658147.1339526,2.2,31.0,0.005,3.9771996105585385,3.9771996105585385,0,0,0,2.2,31.0,0.005,3.9771996105585385,3.9771996105585385,0,0,0,0,0,-0.034011807453412764,397719.9610558538
1764658148.1481514,1.7,31.0,0.005,0,0,0,0,0,1.7,31.0,0.005,0,0,0,0,0,0,0,-0.38830146842646185,0.0
1764658149.1654444,3.2,31.0,0.005,3.93200394859329,3.93200394859329,0,0,0,3.2,31.0,0.005,3.93200394859329,3.93200394859329,0,0,0,0,0,0.654884017753184,393200.394859329
1764658150.1754873,1.7,31.0,0.005,0,0,0,0,0,1.7,31.0,0.005,0,0,0,0,0,0,0,-0.42234718637084484,0.0
1764658151.1931765,2.7,31.0,0.005,0,0,0,0,0,2.7,31.0,0.005,0,0,0,0,0,0,0,0.2770964897729426,0.0
1764658152.210488,2.2,31.0,0.005,0,0,0,0,0,2.2,31.0,0.005,0,0,0,0,0,0,0,-0.057801295558307375,0.0
